ID,CHI,ENG
0,氏,,
1,信,,
2,忠,,
3,隆,,
4,素,,
5,让,,
6,洪,,
7,喜,,
8,骘,,
9,阐,,
10,原,,
11,衍,,
12,轨,,
13,寿,,
14,蕃,,
15,耽,,
16,琳,,
17,宫,,
18,翔,,
19,生,,
20,登,,
21,炜,,
22,武,,
23,兰,,
24,珪,,
25,纪,,
26,震,,
27,就,,
28,矫,,
29,应,,
30,群,,
31,式,,
32,造,,
33,骞,,
34,俊,,
35,元,,
36,旷,,
37,普,,
38,昱,,
39,秉,,
40,咨,,
41,威,,
42,廉,,
43,宜,,
44,何,,
45,济,,
46,节,,
47,操,,
48,嵩,,
49,腾,,
50,仁,,
51,洪,,
52,德,,
53,豹,,
54,性,,
55,昂,,
56,安,,
57,植,,
58,纯,,
59,休,,
60,彰,,
61,真,,
62,睿,,
63,遵,,
64,宇,,
65,芳,,
66,爽,,
67,羲,,
68,训,,
69,彦,,
70,据,,
71,髦,,
72,霖,,
73,奂,,
74,邕,,
75,瑁,,
76,阳,,
77,中,,
78,和,,
79,勋,,
80,林,,
81,琼,,
82,导,,
83,丹,,
84,毅,,
85,烈,,
86,勇,,
87,琰,,
88,平,,
89,禹,,
90,谅,,
91,谌,,
92,奇,,
93,于,,
94,胄,,
95,习,,
96,吉,,
97,卓,,
98,重,,
99,苌,,
100,旻,,
101,璜,,
102,承,,
103,昭,,
104,袭,,
105,祀,,
106,衡,,
107,超,,
108,治,,
109,允,,
110,厥,,
 
