ID,CHI,ENG
TM,天命,,
FK,府库,,
WB,武备,,
TianX,天下,,
ChaoT,朝廷,,
HouG,后宫,,
Static,统计,,
Emperor,皇帝,,
Age,年龄,,
Heath,健康,,
HuangH,皇后,,
GuiF1,贵妃,,
GuiF2,贵妃,,
GuiF3,贵妃,,
Feib1,妃,,
Feib2,妃,,
Feib3,妃,,
Feib4,妃,,
Feib5,妃,,
Feib6,妃,,
Feib7,妃,,
Feib8,妃,,
Feib9,妃,,
SanG,三公,,
JiuQ,九卿,,
ChengX,丞相,,
TaiW,太尉,,
YuSDF,御史大夫,,
TaiC,太常,,
TaiP,太仆,,
WeiW,卫尉,,
GuangL,光禄卿,,
TingW,廷尉,,
DaH,大鸿胪,,
ZhongZ,宗正,,
DaS,大司农,,
ShaoF,少府,,
ShiDF,士,,
XunG,勋,,
HuanG,宦,,
ShiDF_FULL,士族,,
XunG_FULL,勋贵,,
HuanG_FULL,宦官,,
Youzhou,幽州,,
Jizhou,冀州,,
Bingzhou,并州,,
Yuzhou,豫州,,
Yanzhou,兖州,,
Qingzhou,青州,,
Xuzhou,徐州,,
Yangzhou,扬州,,
Jingzhou,荆州,,
Yizhou,益州,,
Yongzhou,雍州,,
Liangzhou,凉州,,
Sizhou,司隶,,
